Min_Temp,Rainfall,Cloud_Coverage,Station_Number,ALT,rain_latitude,rain_longitude,dist_to_water,Flood
19.9,29.0,1.5,41941,7,674.5400000000001,2629.43,0.0583140117133964,0
25.0,61.0,2.8,41966,63,1382.8700000000001,5624.2,0.0457193345892512,0
14.8,0.0,0.9,41963,4,0.0,0.0,0.0035436366454311,0
21.2,64.0,3.8,41936,7,1482.88,5710.08,0.0003710520096859,0
16.2,57.0,2.2,41950,4,1293.8999999999999,5150.5199999999995,0.0039501573256362,0
16.6,50.0,2.3,41984,3,1099.0,4511.0,0.0012831587583359,0
24.8,157.0,3.4,41946,6,3560.7599999999998,13983.99,0.0002734213434593,0
19.1,0.0,0.8,41960,3,0.0,0.0,0.0014644257439875,0
26.2,259.0,5.6,41966,63,5871.530000000001,23879.8,0.0457193345892512,0
23.4,245.0,3.0,41939,5,5676.650000000001,22094.100000000002,0.0005240409237834,0
15.8,48.0,1.3,41964,6,1080.0,4390.08,0.004640548819188,0
15.1,0.0,1.1,41946,6,0.0,0.0,0.0002734213434593,0
25.5,433.0,6.8,41923,9,10296.74,39138.87,0.0462193970000068,0
12.8,0.0,0.6,41891,35,0.0,0.0,0.0046703924424522,0
19.4,0.0,0.4,41958,4,0.0,0.0,0.002883257842594,0
20.7,73.0,2.9,41859,34,1877.56,6515.9800000000005,0.0042165446025983,0
25.7,706.0,6.8,41992,4,15150.76,64937.880000000005,0.0028442540421091,1
20.0,2.0,1.8,41909,10,48.3,179.1,0.0038682829869594,0
24.5,964.0,7.4,41891,35,23984.32,88620.52,0.0046703924424522,1
16.6,0.0,0.3,41992,4,0.0,0.0,0.0028442540421091,0
20.6,69.0,1.6,41909,10,1666.35,6178.95,0.0038682829869594,0
19.5,1.0,0.9,41958,4,22.43,89.66,0.002883257842594,0
26.4,283.0,5.1,41929,9,6681.63,25424.72,0.0134487712682381,0
17.1,0.0,1.2,41978,6,0.0,0.0,0.0346637816973608,0
25.0,507.0,4.3,41953,6,11574.81,46177.56,0.0046592178673608,1
14.6,0.0,1.0,41939,5,0.0,0.0,0.0005240409237834,0
15.3,0.0,2.6,41863,37,0.0,0.0,0.0119194042792794,0
17.2,42.0,1.2,41964,6,945.0,3841.3199999999997,0.004640548819188,0
26.0,268.0,4.4,41953,6,6118.44,24409.44,0.0046592178673608,0
25.2,4.0,2.4,41965,4,90.56,366.56,0.0025590535107815,0
16.2,28.0,1.6,41963,4,624.12,2551.64,0.0035436366454311,0
24.4,949.0,7.1,41978,6,21200.66,87108.71,0.0346637816973608,1
12.9,3.0,1.3,41933,10,70.44,273.57,0.0019168690505087,0
10.2,4.0,1.1,41907,14,96.48,356.16,0.0099986767349043,0
25.5,560.0,6.0,41965,4,12678.4,51318.4,0.0025590535107815,1
20.7,59.0,1.7,41929,9,1392.99,5300.56,0.0134487712682381,0
25.4,409.0,6.8,41951,5,9284.3,37079.939999999995,0.0212472319109508,1
24.8,80.0,3.4,41984,3,1758.4,7217.6,0.0012831587583359,0
26.1,212.0,6.5,41946,6,4808.16,18882.84,0.0002734213434593,0
24.5,85.0,3.6,41965,4,1924.4,7789.4,0.0025590535107815,0
22.4,149.0,1.8,41859,34,3832.2799999999997,13299.740000000002,0.0042165446025983,0
24.4,189.0,4.4,41895,20,4602.150000000001,16737.84,0.0052119540951878,0
25.4,68.0,4.5,41907,14,1640.16,6054.72,0.0099986767349043,0
23.6,386.0,4.6,41992,4,8283.56,35504.28,0.0028442540421091,0
24.5,233.0,3.8,41859,34,5992.759999999999,20797.58,0.0042165446025983,0
24.4,495.0,6.1,41891,35,12315.6,45505.350000000006,0.0046703924424522,1
25.2,337.0,5.4,41929,9,7956.57,30276.08,0.0134487712682381,0
26.4,245.0,6.0,41909,10,5916.75,21939.75,0.0038682829869594,0
26.0,161.0,4.9,41946,6,3651.48,14340.269999999999,0.0002734213434593,0
22.8,414.0,4.4,41923,9,9844.92,37421.46,0.0462193970000068,0
26.9,204.0,5.4,41883,20,5075.5199999999995,18229.44,0.003549754522419,0
16.8,0.0,1.5,41992,4,0.0,0.0,0.0028442540421091,0
25.6,615.0,5.5,41953,6,14040.449999999999,56014.2,0.0046592178673608,1
27.0,139.0,5.3,41950,4,3155.2999999999997,12560.039999999999,0.0039501573256362,0
22.7,30.0,1.7,41883,20,746.4,2680.8,0.003549754522419,0
18.2,1.0,1.3,41863,37,25.63,88.66,0.0119194042792794,0
15.4,80.0,1.1,41891,35,1990.3999999999999,7354.400000000001,0.0046703924424522,0
15.8,0.0,0.9,41941,7,0.0,0.0,0.0583140117133964,0
10.3,0.0,0.4,41863,37,0.0,0.0,0.0119194042792794,0
19.5,55.0,2.5,41947,4,1254.0,4926.9,0.0003225056185209,0
25.3,449.0,6.9,41891,35,11171.119999999999,41276.57,0.0046703924424522,0
26.3,115.0,3.4,41947,4,2622.0,10301.699999999999,0.0003225056185209,0
24.1,669.0,5.4,41891,35,16644.719999999998,61501.170000000006,0.0046703924424522,1
26.1,306.0,5.7,41960,3,6842.16,27644.04,0.0014644257439875,0
25.9,422.0,5.9,41863,37,10815.859999999999,37414.52,0.0119194042792794,1
12.8,0.0,0.4,41936,7,0.0,0.0,0.0003710520096859,0
24.2,594.0,4.7,41953,6,13561.019999999999,54101.52,0.0046592178673608,1
26.0,200.0,5.5,41946,6,4536.0,17814.0,0.0002734213434593,0
26.2,414.0,6.0,41950,4,9397.8,37409.04,0.0039501573256362,1
25.5,352.0,6.3,41923,9,8370.560000000001,31817.28,0.0462193970000068,0
14.0,0.0,1.3,41883,20,0.0,0.0,0.003549754522419,0
25.4,858.0,6.7,41943,8,19742.58,78395.46,0.0149348848333331,1
23.9,156.0,3.5,41950,4,3541.2,14096.16,0.0039501573256362,0
26.1,448.0,6.3,41951,5,10169.6,40615.68,0.0212472319109508,1
19.1,45.0,1.7,41966,63,1020.1500000000001,4149.0,0.0457193345892512,0
25.38275862,223.0,4.3,41989,6,4868.089999999999,20480.32,0.0117053903221438,0
17.1,0.0,1.4,41964,6,0.0,0.0,0.004640548819188,0
14.1,16.0,0.7,41953,6,365.28,1457.28,0.0046592178673608,0
22.1,53.0,2.4,41907,14,1278.3600000000001,4719.12,0.0099986767349043,0
11.6,0.0,1.0,41915,23,0.0,0.0,0.0130790497151562,0
15.1,0.0,0.7,41958,4,0.0,0.0,0.002883257842594,0
26.4,130.0,5.5,41929,9,3069.2999999999997,11679.2,0.0134487712682381,0
25.3,414.0,5.7,41933,10,9720.72,37752.659999999996,0.0019168690505087,1
26.8,72.0,2.8,41946,6,1632.96,6413.039999999999,0.0002734213434593,0
25.2,252.0,5.1,41933,10,5916.96,22979.88,0.0019168690505087,0
24.9,693.0,6.3,41966,63,15710.310000000001,63894.6,0.0457193345892512,1
26.2,98.0,5.4,41886,19,2425.5,8860.18,0.0078053252420728,0
25.7,438.0,5.4,41859,34,11265.359999999999,39095.880000000005,0.0042165446025983,1
25.9,716.0,7.3,41950,4,16253.199999999999,64697.76,0.0039501573256362,1
17.1,0.0,1.1,41891,35,0.0,0.0,0.0046703924424522,0
12.4,0.0,0.4,41946,6,0.0,0.0,0.0002734213434593,0
25.5,685.0,6.3,41965,4,15508.4,62773.4,0.0025590535107815,1
26.1,553.0,4.9,41958,4,12403.789999999999,49581.979999999996,0.002883257842594,1
11.9,14.0,0.7,41933,10,328.72,1276.6599999999999,0.0019168690505087,0
12.8,9.0,2.4,41965,4,203.76,824.76,0.0025590535107815,0
17.2,17.0,1.9,41984,3,373.66,1533.74,0.0012831587583359,0
22.1,371.0,1.9,41941,7,8629.460000000001,33638.57,0.0583140117133964,1
24.7,677.0,6.7,41978,6,15124.18,62141.83,0.0346637816973608,1
